experiment,experiment_order,variant,variant_order,parallel,parallel_order,n,n_timeout,mean_ms,ci_lower_ms,ci_upper_ms,ci_upper_is_infinite,ci_upper_ms_plot,ci_method
qwen,4,new,1,serial,0,3,0,33304.333333333336,33045.55240952175,33563.11425714492,false,33563.11425714492,t_two_sided
qwen,4,new,1,default Rayon,1,3,0,28748.666666666668,26574.792183395202,30922.541149938133,false,30922.541149938133,t_two_sided
qwen,4,PR #857,2,serial,0,3,0,3406.3333333333335,3328.9856532187296,3483.6810134479374,false,3483.6810134479374,t_two_sided
qwen,4,PR #857,2,default Rayon,1,3,0,3657.6666666666665,3390.0914085078116,3925.2419248255214,false,3925.2419248255214,t_two_sided
qwen,4,main 8c1c70b,3,serial,0,3,0,3475.6666666666665,3433.922884397793,3517.41044893554,false,3517.41044893554,t_two_sided
qwen,4,main 8c1c70b,3,default Rayon,1,3,0,3384.6666666666665,3237.6422525326716,3531.6910808006614,false,3531.6910808006614,t_two_sided
qwen,4,PR #896 no-decomp,4,serial,0,3,0,2254,2193.7067955708662,2314.2932044291338,false,2314.2932044291338,t_two_sided
qwen,4,PR #896 no-decomp,4,default Rayon,1,3,0,1926,1914.6153321084892,1937.3846678915108,false,1937.3846678915108,t_two_sided
paged_llama,5,old,0,serial,0,3,0,1219.6666666666667,1210.941957610709,1228.3913757226244,false,1228.3913757226244,t_two_sided
paged_llama,5,old,0,default Rayon,1,3,0,2763.3333333333335,2736.7691082531414,2789.8975584135255,false,2789.8975584135255,t_two_sided
paged_llama,5,new,1,serial,0,3,3,60000,22104.188991842322,Infinity,true,198450,right_censored_all_timeout_lower_bound
paged_llama,5,new,1,default Rayon,1,3,3,60000,22104.188991842322,Infinity,true,198450,right_censored_all_timeout_lower_bound
paged_llama,5,PR #857,2,serial,0,3,3,60000,22104.188991842322,Infinity,true,198450,right_censored_all_timeout_lower_bound
paged_llama,5,PR #857,2,default Rayon,1,3,3,60000,22104.188991842322,Infinity,true,198450,right_censored_all_timeout_lower_bound
paged_llama,5,main 8c1c70b,3,serial,0,3,3,60000,22104.188991842322,Infinity,true,198450,right_censored_all_timeout_lower_bound
paged_llama,5,main 8c1c70b,3,default Rayon,1,3,3,60000,22104.188991842322,Infinity,true,198450,right_censored_all_timeout_lower_bound
paged_llama,5,PR #896 no-decomp,4,serial,0,3,0,1106,1086.5966983136032,1125.4033016863968,false,1125.4033016863968,t_two_sided
paged_llama,5,PR #896 no-decomp,4,default Rayon,1,3,0,1283.6666666666667,1277.414552615315,1289.9187807180185,false,1289.9187807180185,t_two_sided
